Datetime,ms,Level(m),Temp(C)
2022-12-07 16:00:24,0,0.149,6.0
2022-12-07 16:15:24,0,0.148,6.1
2022-12-07 16:30:24,0,0.147,6.1
2022-12-07 16:45:24,0,0.147,6.2
2022-12-07 17:00:24,0,0.148,6.2
2022-12-07 17:15:24,0,0.145,6.3
2022-12-07 17:30:24,0,0.145,6.3
2022-12-07 17:45:24,0,0.142,6.3
2022-12-07 18:00:24,0,0.142,6.3
2022-12-07 18:15:24,0,0.14,6.3
2022-12-07 18:30:24,0,0.138,6.3
2022-12-07 18:45:24,0,0.137,6.3
2022-12-07 19:00:24,0,0.137,6.3
2022-12-07 19:15:24,0,0.138,6.3
2022-12-07 19:30:24,0,0.136,6.2
2022-12-07 19:45:24,0,0.134,6.2
2022-12-07 20:00:24,0,0.134,6.2
2022-12-07 20:15:24,0,0.134,6.2
2022-12-07 20:30:24,0,0.133,6.1
2022-12-07 20:45:24,0,0.134,6.1
2022-12-07 21:00:24,0,0.134,6.1
2022-12-07 21:15:24,0,0.134,6.1
2022-12-07 21:30:24,0,0.13,6.0
2022-12-07 21:45:24,0,0.132,6.0
2022-12-07 22:00:24,0,0.13,5.9
2022-12-07 22:15:24,0,0.129,5.9
2022-12-07 22:30:24,0,0.131,5.9
2022-12-07 22:45:24,0,0.131,5.8
2022-12-07 23:00:24,0,0.127,5.8
2022-12-07 23:15:24,0,0.127,5.8
2022-12-07 23:30:24,0,0.126,5.8
2022-12-07 23:45:24,0,0.127,5.8
2022-12-08 00:00:24,0,0.126,5.8
2022-12-08 00:15:24,0,0.126,5.8
2022-12-08 00:30:24,0,0.125,5.8
2022-12-08 00:45:24,0,0.124,5.8
2022-12-08 01:00:24,0,0.124,5.8
2022-12-08 01:15:24,0,0.122,5.7
2022-12-08 01:30:24,0,0.123,5.7
2022-12-08 01:45:24,0,0.121,5.7
2022-12-08 02:00:24,0,0.122,5.7
2022-12-08 02:15:24,0,0.12,5.7
2022-12-08 02:30:24,0,0.12,5.8
2022-12-08 02:45:24,0,0.12,5.7
2022-12-08 03:00:24,0,0.12,5.7
2022-12-08 03:15:24,0,0.12,5.7
2022-12-08 03:30:24,0,0.119,5.7
2022-12-08 03:45:24,0,0.118,5.7
2022-12-08 04:00:24,0,0.12,5.7
2022-12-08 04:15:24,0,0.118,5.7
2022-12-08 04:30:24,0,0.116,5.7
2022-12-08 04:45:24,0,0.115,5.6
2022-12-08 05:00:24,0,0.117,5.6
2022-12-08 05:15:24,0,0.115,5.6
2022-12-08 05:30:24,0,0.114,5.6
2022-12-08 05:45:24,0,0.115,5.6
2022-12-08 06:00:24,0,0.113,5.6
2022-12-08 06:15:24,0,0.113,5.6
2022-12-08 06:30:24,0,0.113,5.6
2022-12-08 06:45:24,0,0.113,5.6
2022-12-08 07:00:24,0,0.112,5.5
2022-12-08 07:15:24,0,0.111,5.5
2022-12-08 07:30:24,0,0.11,5.5
2022-12-08 07:45:24,0,0.11,5.5
2022-12-08 08:00:24,0,0.109,5.5
2022-12-08 08:15:24,0,0.11,5.5
2022-12-08 08:30:24,0,0.109,5.5
2022-12-08 08:45:24,0,0.109,5.5
2022-12-08 09:00:24,0,0.108,5.5
2022-12-08 09:15:24,0,0.107,5.5
2022-12-08 09:30:24,0,0.107,5.5
2022-12-08 09:45:24,0,0.107,5.5
2022-12-08 10:00:24,0,0.106,5.5
2022-12-08 10:15:24,0,0.106,5.5
2022-12-08 10:30:24,0,0.107,5.5
2022-12-08 10:45:24,0,0.104,5.5
2022-12-08 11:00:24,0,0.103,5.5
2022-12-08 11:15:24,0,0.105,5.5
2022-12-08 11:30:24,0,0.103,5.5
2022-12-08 11:45:24,0,0.104,5.5
2022-12-08 12:00:24,0,0.103,5.5
2022-12-08 12:15:24,0,0.104,5.6
2022-12-08 12:30:24,0,0.103,5.6
2022-12-08 12:45:24,0,0.102,5.6
2022-12-08 13:00:24,0,0.104,5.6
2022-12-08 13:15:24,0,0.103,5.6
2022-12-08 13:30:24,0,0.104,5.7
2022-12-08 13:45:24,0,0.102,5.7
2022-12-08 14:00:24,0,0.103,5.7
2022-12-08 14:15:24,0,0.1,5.7
2022-12-08 14:30:24,0,0.1,5.7
2022-12-08 14:45:24,0,0.099,5.7
2022-12-08 15:00:24,0,0.1,5.8
2022-12-08 15:15:24,0,0.1,5.8
2022-12-08 15:30:24,0,0.099,5.8
2022-12-08 15:45:24,0,0.098,5.8
2022-12-08 16:00:24,0,0.1,5.8
2022-12-08 16:15:24,0,0.1,5.8
2022-12-08 16:30:24,0,0.099,5.8
2022-12-08 16:45:24,0,0.1,5.8
2022-12-08 17:00:24,0,0.1,5.8
2022-12-08 17:15:24,0,0.099,5.8
2022-12-08 17:30:24,0,0.097,5.8
2022-12-08 17:45:24,0,0.097,5.8
2022-12-08 18:00:24,0,0.097,5.8
2022-12-08 18:15:24,0,0.096,5.8
2022-12-08 18:30:24,0,0.095,5.8
2022-12-08 18:45:24,0,0.096,5.8
2022-12-08 19:00:24,0,0.096,5.8
2022-12-08 19:15:24,0,0.094,5.8
2022-12-08 19:30:24,0,0.094,5.8
2022-12-08 19:45:24,0,0.093,5.7
2022-12-08 20:00:24,0,0.093,5.8
2022-12-08 20:15:24,0,0.092,5.8
2022-12-08 20:30:24,0,0.09,5.8
2022-12-08 20:45:24,0,0.089,5.8
2022-12-08 21:00:24,0,0.09,5.8
2022-12-08 21:15:24,0,0.09,5.8
2022-12-08 21:30:24,0,0.09,5.8
2022-12-08 21:45:24,0,0.091,5.8
2022-12-08 22:00:24,0,0.09,5.8
2022-12-08 22:15:24,0,0.089,5.8
2022-12-08 22:30:24,0,0.089,5.7
2022-12-08 22:45:24,0,0.088,5.7
2022-12-08 23:00:24,0,0.089,5.7
2022-12-08 23:15:24,0,0.089,5.7
2022-12-08 23:30:24,0,0.088,5.7
2022-12-08 23:45:24,0,0.088,5.7
2022-12-09 00:00:24,0,0.088,5.7
2022-12-09 00:15:24,0,0.085,5.7
2022-12-09 00:30:24,0,0.087,5.7
2022-12-09 00:45:24,0,0.087,5.7
2022-12-09 01:00:24,0,0.084,5.7
2022-12-09 01:15:24,0,0.086,5.7
2022-12-09 01:30:24,0,0.085,5.7
