Datetime,ms,Pressure(kPa),Temp(C)
2023-02-22 01:29:57,0,98.1447,3.756
2023-02-22 01:34:57,0,98.1203,3.805
2023-02-22 01:39:57,0,98.1157,3.874
2023-02-22 01:44:57,0,98.0918,3.91
2023-02-22 01:49:57,0,98.0892,3.783
2023-02-22 01:54:57,0,98.0774,3.574
2023-02-22 01:59:57,0,98.0814,3.316
2023-02-22 02:04:57,0,98.0836,3.1
2023-02-22 02:09:57,0,98.0564,2.912
2023-02-22 02:14:57,0,98.0536,2.798
2023-02-22 02:19:57,0,98.0677,2.731
2023-02-22 02:24:57,0,98.0656,2.72
2023-02-22 02:29:57,0,98.0568,2.768
2023-02-22 02:34:57,0,98.0624,2.855
2023-02-22 02:39:57,0,98.0504,2.756
2023-02-22 02:44:57,0,98.0295,2.572
2023-02-22 02:49:57,0,98.0024,2.408
2023-02-22 02:54:57,0,98.0091,2.281
2023-02-22 02:59:57,0,98.0331,2.196
2023-02-22 03:04:57,0,97.9925,2.129
2023-02-22 03:09:57,0,97.99,2.081
2023-02-22 03:14:57,0,97.9879,2.048
2023-02-22 03:19:57,0,97.9852,2.047
2023-02-22 03:24:57,0,97.9798,2.058
2023-02-22 03:29:57,0,97.9876,2.062
2023-02-22 03:34:57,0,97.9807,2.08
2023-02-22 03:39:57,0,97.9726,2.134
2023-02-22 03:44:57,0,97.9297,2.169
2023-02-22 03:49:57,0,97.8853,2.191
2023-02-22 03:54:57,0,97.8563,2.21
2023-02-22 03:59:57,0,97.8614,2.212
2023-02-22 04:04:57,0,97.8048,2.206
2023-02-22 04:09:57,0,97.8,2.216
2023-02-22 04:14:57,0,97.7899,2.222
2023-02-22 04:19:57,0,97.7945,2.241
2023-02-22 04:24:57,0,97.8649,2.277
2023-02-22 04:29:57,0,97.8328,2.331
2023-02-22 04:34:57,0,97.8229,2.351
2023-02-22 04:39:57,0,97.8304,2.341
2023-02-22 04:44:57,0,97.8294,2.339
2023-02-22 04:49:57,0,97.8156,2.364
2023-02-22 04:54:57,0,97.7986,2.405
2023-02-22 04:59:57,0,97.8067,2.466
2023-02-22 05:04:57,0,97.8705,2.514
2023-02-22 05:09:57,0,97.9461,2.547
2023-02-22 05:14:57,0,97.8645,2.565
2023-02-22 05:19:57,0,97.8973,2.563
2023-02-22 05:24:57,0,97.8887,2.574
2023-02-22 05:29:57,0,97.8949,2.583
2023-02-22 05:34:57,0,97.8446,2.617
2023-02-22 05:39:57,0,97.8746,2.66
2023-02-22 05:44:57,0,97.8868,2.718
2023-02-22 05:49:57,0,97.9002,2.803
2023-02-22 05:54:57,0,97.8687,2.915
2023-02-22 05:59:57,0,97.921,3.017
2023-02-22 06:04:57,0,97.8412,3.105
2023-02-22 06:09:57,0,97.8225,3.172
2023-02-22 06:14:57,0,97.7804,3.232
2023-02-22 06:19:57,0,97.8177,3.289
2023-02-22 06:24:57,0,97.8449,3.351
2023-02-22 06:29:57,0,97.8324,3.412
2023-02-22 06:34:57,0,97.8253,3.484
2023-02-22 06:39:57,0,97.8502,3.569
2023-02-22 06:44:57,0,97.8119,3.659
2023-02-22 06:49:57,0,97.7997,3.749
2023-02-22 06:54:57,0,97.8499,3.852
2023-02-22 06:59:57,0,97.8478,3.957
2023-02-22 07:04:57,0,97.8781,4.073
2023-02-22 07:09:57,0,97.8583,4.197
2023-02-22 07:14:57,0,97.8109,4.333
2023-02-22 07:19:57,0,97.8975,4.485
2023-02-22 07:24:57,0,97.8893,4.633
2023-02-22 07:29:57,0,97.8276,4.77
2023-02-22 07:34:57,0,97.8341,4.898
2023-02-22 07:39:57,0,97.8527,5.01
2023-02-22 07:44:57,0,97.8847,5.125
2023-02-22 07:49:57,0,97.8553,5.236
2023-02-22 07:54:57,0,97.8202,5.323
2023-02-22 07:59:57,0,97.7802,5.395
2023-02-22 08:04:57,0,97.7784,5.441
2023-02-22 08:09:57,0,97.7943,5.464
2023-02-22 08:14:57,0,97.8058,5.463
2023-02-22 08:19:57,0,97.8038,5.457
2023-02-22 08:24:57,0,97.8304,5.45
2023-02-22 08:29:57,0,97.8467,5.457
2023-02-22 08:34:57,0,97.89,5.466
2023-02-22 08:39:57,0,97.9289,5.495
2023-02-22 08:44:57,0,97.9149,5.525
2023-02-22 08:49:57,0,97.9174,5.584
2023-02-22 08:54:57,0,97.8933,5.673
2023-02-22 08:59:57,0,97.8881,5.754
2023-02-22 09:04:57,0,97.8895,5.793
2023-02-22 09:09:57,0,97.8695,5.79
2023-02-22 09:14:57,0,97.8558,5.761
2023-02-22 09:19:57,0,97.848,5.716
2023-02-22 09:24:57,0,97.831,5.695
2023-02-22 09:29:57,0,97.8221,5.692
2023-02-22 09:34:57,0,97.8264,5.698
2023-02-22 09:39:57,0,97.8323,5.706
2023-02-22 09:44:57,0,97.8256,5.722
2023-02-22 09:49:57,0,97.8259,5.731
2023-02-22 09:54:57,0,97.8355,5.748
2023-02-22 09:59:57,0,97.8494,5.76
2023-02-22 10:04:57,0,97.8627,5.777
2023-02-22 10:09:57,0,97.8425,5.786
2023-02-22 10:14:57,0,97.8234,5.801
2023-02-22 10:19:57,0,97.8307,5.822
2023-02-22 10:24:57,0,97.8186,5.821
